#,PLAYER,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF,YEAR
2023-24,,,,,,,,,,,,,,,,,,,,,,,
78,Trey Murphy III,NOP,79,31.0,14.5,4.9,10.1,48.4,2.6,6.3,40.6,2.2,2.4,90.5,0.7,2.8,3.6,1.4,1.1,0.5,0.8,14.9,2022-23
79,Tim Hardaway Jr.,DAL,71,30.3,14.4,4.8,11.9,40.1,3.0,7.7,38.5,1.8,2.3,77.0,0.3,3.2,3.5,1.8,0.7,0.2,0.8,12.0,2022-23
80,Dillon Brooks,MEM,73,30.3,14.3,5.4,13.6,39.6,2.0,6.0,32.6,1.6,2.1,77.9,0.6,2.7,3.3,2.6,0.9,0.2,1.4,11.3,2022-23
81,Jarrett Allen,CLE,68,32.6,14.3,5.9,9.2,64.4,0.0,0.1,10.0,2.4,3.3,73.3,3.3,6.5,9.8,1.7,0.8,1.2,1.4,22.2,2022-23
82,Jonas Valanciunas,NOP,79,24.9,14.1,5.6,10.3,54.7,0.5,1.4,34.9,2.3,2.8,82.6,2.8,7.3,10.2,1.8,0.3,0.7,2.0,19.8,2022-23
83,Bobby Portis,MIL,70,26.0,14.1,5.7,11.5,49.6,1.4,3.7,37.0,1.4,1.8,76.8,2.2,7.4,9.6,1.5,0.4,0.2,1.2,18.5,2022-23
84,Jalen Williams,OKC,75,30.3,14.1,5.5,10.6,52.1,1.0,2.7,35.6,2.1,2.5,81.2,1.1,3.4,4.5,3.3,1.4,0.5,1.6,16.5,2022-23
85,Markelle Fultz,ORL,60,29.6,14.0,5.8,11.3,51.4,0.5,1.5,31.0,1.9,2.4,78.3,1.2,2.8,3.9,5.7,1.5,0.4,2.3,17.1,2022-23
86,Chris Paul,PHX,59,32.0,13.9,5.0,11.3,44.0,1.7,4.4,37.5,2.3,2.7,83.1,0.5,3.8,4.3,8.9,1.5,0.4,1.9,20.2,2022-23
87,Saddiq Bey,ATL,77,27.6,13.8,4.6,10.9,42.2,2.0,5.4,36.1,2.7,3.1,86.1,1.3,3.4,4.7,1.5,0.9,0.2,0.9,13.5,2022-23
88,Luguentz Dort,OKC,74,30.7,13.7,4.6,11.8,38.8,1.8,5.5,33.0,2.7,3.5,77.2,1.7,2.9,4.6,2.1,1.0,0.3,1.2,12.5,2022-23
89,Malik Monk,SAC,77,22.3,13.5,4.6,10.3,44.8,1.9,5.2,35.9,2.4,2.7,88.9,0.4,2.2,2.6,3.9,0.6,0.3,1.9,13.0,2022-23
90,Rudy Gobert,MIN,70,30.7,13.4,5.1,7.8,65.9,0.0,0.0,0.0,3.1,4.9,64.4,3.3,8.3,11.6,1.2,0.8,1.4,1.7,22.3,2022-23
91,John Collins,ATL,71,30.0,13.1,5.1,10.0,50.8,1.0,3.4,29.2,2.0,2.5,80.3,1.1,5.4,6.5,1.2,0.6,1.0,1.1,15.9,2022-23
92,Cole Anthony,ORL,60,25.9,13.0,4.6,10.2,45.4,1.3,3.4,36.4,2.5,2.8,89.4,0.8,4.0,4.8,3.9,0.6,0.5,1.5,15.5,2022-23
93,Austin Reaves,LAL,64,28.8,13.0,4.0,7.7,52.9,1.3,3.4,39.8,3.6,4.1,86.4,0.5,2.5,3.0,3.4,0.5,0.3,1.5,14.5,2022-23
94,Tre Jones,SAS,68,29.2,12.9,5.0,10.9,45.9,0.7,2.3,28.5,2.2,2.5,86.0,0.8,2.8,3.6,6.6,1.3,0.1,1.6,16.6,2022-23
95,Jabari Smith Jr.,HOU,79,31.0,12.8,4.6,11.3,40.8,1.5,4.9,30.7,2.1,2.6,78.6,1.5,5.7,7.2,1.3,0.5,0.9,1.3,14.2,2022-23
96,KJ Martin,HOU,82,28.0,12.7,5.0,8.8,56.9,0.8,2.6,31.5,1.8,2.7,68.0,1.5,4.0,5.5,1.5,0.5,0.4,1.1,14.8,2022-23
97,Malik Beasley,LAL,81,25.8,12.7,4.6,11.6,39.5,2.9,8.1,35.7,0.6,0.8,76.9,0.4,3.1,3.5,1.5,0.8,0.1,1.1,10.3,2022-23
98,Nic Claxton,BKN,76,29.9,12.6,5.4,7.7,70.5,0.0,0.0,0.0,1.8,3.2,54.1,2.4,6.8,9.2,1.9,0.9,2.5,1.3,22.1,2022-23
99,Jakob Poeltl,TOR,72,26.5,12.5,5.4,8.6,62.9,0.0,0.0,0.0,1.7,2.8,59.2,3.3,5.8,9.1,2.7,0.9,1.2,1.7,20.3,2022-23
100,Kelly Olynyk,UTA,68,28.6,12.5,4.1,8.2,49.9,1.4,3.5,39.4,2.9,3.4,85.3,1.2,5.0,6.2,3.7,0.9,0.5,2.5,16.7,2022-23
101,Eric Gordon,LAC,69,28.5,12.4,4.2,9.5,44.6,1.9,5.2,37.1,2.1,2.5,82.1,0.2,1.7,1.9,2.7,0.6,0.4,1.5,10.8,2022-23
102,Derrick White,BOS,82,28.3,12.4,4.3,9.2,46.2,1.8,4.8,38.1,2.0,2.3,87.5,0.6,2.9,3.6,3.9,0.7,0.9,1.2,15.0,2022-23
103,Dennis Schroder,LAL,67,29.6,12.4,4.0,9.7,41.5,1.1,3.4,32.9,3.2,3.8,85.7,0.3,2.1,2.5,4.4,0.7,0.1,1.7,12.3,2022-23
104,Keegan Murray,SAC,80,29.8,12.2,4.4,9.8,45.3,2.6,6.3,41.1,0.8,1.0,76.5,1.1,3.5,4.6,1.2,0.8,0.5,0.8,13.0,2022-23
105,Caris LeVert,CLE,74,30.2,12.1,4.3,10.0,43.1,1.7,4.4,39.2,1.8,2.4,72.2,0.7,3.1,3.8,3.9,1.0,0.3,1.6,13.2,2022-23
106,Jaden McDaniels,MIN,79,30.6,12.1,4.7,9.1,51.7,1.4,3.4,39.8,1.3,1.8,73.6,1.2,2.7,3.9,1.9,0.9,1.0,1.4,13.4,2022-23
107,Clint Capela,ATL,65,26.6,12.0,5.4,8.2,65.3,0.0,0.0,0.0,1.2,2.0,60.3,4.0,7.1,11.0,0.9,0.7,1.2,0.8,21.3,2022-23
108,Mike Conley,MIN,67,30.3,11.9,3.9,9.1,42.8,2.0,5.2,38.5,2.1,2.5,83.4,0.5,2.2,2.7,6.7,1.1,0.2,1.5,15.5,2022-23
109,Zach Collins,SAS,63,22.9,11.6,4.5,8.7,51.8,0.9,2.3,37.4,1.7,2.3,76.1,1.8,4.5,6.4,2.9,0.6,0.8,2.0,15.4,2022-23
110,Bruce Brown,DEN,80,28.5,11.5,4.5,9.3,48.3,1.1,3.2,35.8,1.5,1.9,75.8,0.8,3.3,4.1,3.4,1.1,0.6,1.5,13.9,2022-23
110,Max Strus,MIA,80,28.4,11.5,4.1,9.9,41.0,2.5,7.0,35.0,1.0,1.1,87.6,0.6,2.6,3.2,2.1,0.5,0.2,0.9,10.7,2022-23
112,Marcus Smart,BOS,61,32.1,11.5,4.1,9.9,41.5,1.9,5.6,33.6,1.4,1.9,74.6,0.8,2.4,3.1,6.3,1.5,0.4,2.3,14.2,2022-23
113,Naz Reid,MIN,68,18.4,11.5,4.6,8.5,53.7,1.1,3.2,34.6,1.3,1.9,67.7,1.1,3.8,4.9,1.1,0.6,0.8,1.4,13.0,2022-23
114,Quentin Grimes,NYK,71,29.9,11.3,4.0,8.5,46.8,2.2,5.7,38.6,1.1,1.4,79.6,0.7,2.5,3.2,2.1,0.7,0.4,1.0,11.9,2022-23
115,Rui Hachimura,LAL,63,23.3,11.2,4.5,9.3,48.6,0.8,2.5,31.9,1.4,1.9,73.9,0.8,3.7,4.5,0.9,0.3,0.4,0.8,11.3,2022-23
116,Marcus Morris Sr.,LAC,65,28.1,11.2,4.2,9.9,42.6,1.7,4.7,36.4,1.0,1.3,78.2,0.4,3.5,4.0,1.8,0.6,0.3,0.9,11.1,2022-23
117,Corey Kispert,WAS,74,28.3,11.1,3.9,7.9,49.7,2.2,5.2,42.4,1.0,1.2,85.2,0.4,2.4,2.8,1.2,0.4,0.1,0.7,10.7,2022-23
118,Mason Plumlee,LAC,79,26.0,10.8,4.2,6.1,68.0,0.0,0.0,0.0,2.5,4.0,63.6,2.9,6.0,8.9,3.1,0.6,0.6,1.5,19.1,2022-23
119,Jaylen Nowell,MIN,65,19.3,10.8,4.3,9.6,44.8,1.0,3.6,28.9,1.2,1.5,77.8,0.6,2.1,2.6,2.0,0.6,0.1,1.0,9.6,2022-23
120,Kentavious Caldwell-Pope,DEN,76,31.3,10.8,3.8,8.3,46.2,1.8,4.2,42.3,1.4,1.6,82.4,0.5,2.3,2.7,2.4,1.5,0.5,1.1,12.0,2022-23
121,Ivica Zubac,LAC,76,28.5,10.8,4.3,6.8,63.4,0.0,0.0,0.0,2.2,3.1,69.7,3.1,6.8,9.9,1.0,0.4,1.3,1.5,18.4,2022-23
122,Talen Horton-Tucker,UTA,65,20.2,10.7,4.0,9.4,41.9,0.9,3.1,28.6,1.9,2.6,75.0,0.6,2.6,3.2,3.8,0.6,0.4,1.9,10.8,2022-23
123,Grayson Allen,MIL,72,27.4,10.4,3.4,7.7,44.0,2.0,5.1,39.9,1.6,1.8,90.5,0.8,2.4,3.3,2.3,0.9,0.2,1.0,11.5,2022-23
124,Killian Hayes,DET,76,28.3,10.3,4.0,10.7,37.7,1.1,3.8,28.0,1.2,1.5,82.1,0.4,2.5,2.9,6.2,1.4,0.4,2.3,11.9,2022-23
125,Tyus Jones,MEM,80,24.2,10.3,3.9,8.9,43.8,1.5,4.1,37.1,1.0,1.3,80.0,0.4,2.2,2.5,5.2,1.0,0.1,0.9,13.0,2022-23
126,Monte Morris,WAS,62,27.4,10.3,4.0,8.3,48.0,1.3,3.3,38.2,1.0,1.2,83.1,0.4,3.0,3.4,5.3,0.7,0.2,1.0,14.3,2022-23
127,Doug McDermott,SAS,64,20.5,10.2,3.7,8.2,45.7,1.9,4.7,41.3,0.8,1.1,75.7,0.4,1.8,2.2,1.4,0.2,0.1,0.9,8.5,2022-23
128,Malaki Branham,SAS,66,23.5,10.2,4.1,9.3,44.0,1.2,3.9,30.2,0.9,1.1,82.9,0.4,2.3,2.7,1.9,0.5,0.1,1.2,9.0,2022-23
129,Reggie Jackson,DEN,68,24.4,10.2,3.9,9.4,41.1,1.4,4.2,33.3,1.0,1.1,91.0,0.4,1.8,2.1,3.4,0.7,0.1,1.7,9.2,2022-23
130,Patrick Williams,CHI,82,28.3,10.2,3.8,8.3,46.4,1.4,3.4,41.5,1.1,1.3,85.7,1.0,3.0,4.0,1.2,0.9,0.9,1.2,11.3,2022-23
131,De'Anthony Melton,PHI,77,27.9,10.1,3.6,8.5,42.5,2.0,5.2,39.0,0.9,1.1,79.3,0.9,3.2,4.1,2.6,1.6,0.5,1.3,12.5,2022-23
132,Aaron Nesmith,IND,73,24.9,10.1,3.5,8.1,42.7,1.6,4.3,36.6,1.6,1.9,83.8,0.8,2.9,3.8,1.3,0.8,0.5,1.0,10.5,2022-23
133,Josh Richardson,NOP,65,23.5,10.1,3.7,8.5,43.1,1.6,4.5,36.5,1.1,1.2,85.2,0.6,2.1,2.7,2.7,1.1,0.3,1.3,10.4,2022-23
134,Jonathan Kuminga,GSW,67,20.8,9.9,3.9,7.4,52.5,0.8,2.2,37.0,1.3,2.1,65.2,1.0,2.4,3.4,1.9,0.6,0.5,1.4,10.7,2022-23
135,Onyeka Okongwu,ATL,80,23.1,9.9,4.0,6.2,63.8,0.1,0.2,30.8,1.9,2.5,78.1,2.7,4.5,7.2,1.0,0.7,1.3,1.0,16.3,2022-23
136,Shaedon Sharpe,POR,80,22.2,9.9,3.8,8.1,47.2,1.3,3.5,36.0,0.9,1.3,71.4,0.8,2.2,3.0,1.2,0.5,0.3,1.0,9.1,2022-23
137,Herbert Jones,NOP,66,29.6,9.8,3.6,7.6,46.9,0.8,2.5,33.5,1.9,2.4,76.4,1.5,2.6,4.1,2.5,1.6,0.6,1.3,12.6,2022-23
138,Thomas Bryant,DEN,59,18.3,9.8,3.9,6.3,62.3,0.4,1.0,44.1,1.6,2.1,73.8,1.5,4.3,5.7,0.5,0.3,0.5,0.6,13.3,2022-23
139,Al Horford,BOS,63,30.5,9.8,3.6,7.6,47.6,2.3,5.2,44.6,0.2,0.3,71.4,1.2,5.0,6.2,3.0,0.5,1.0,0.6,15.7,2022-23
140,Josh Hart,NYK,76,32.3,9.8,3.6,6.8,52.9,0.8,2.2,37.2,1.7,2.3,75.0,1.9,5.9,7.8,3.8,1.2,0.3,1.5,17.5,2022-23
141,Coby White,CHI,74,23.4,9.7,3.6,8.0,44.3,1.7,4.6,37.2,0.8,0.9,87.1,0.2,2.6,2.9,2.8,0.7,0.1,1.0,10.5,2022-23
142,Keita Bates-Diop,SAS,67,21.7,9.7,3.5,6.9,50.8,0.8,2.1,39.4,1.8,2.2,79.3,1.0,2.7,3.7,1.5,0.7,0.3,0.8,11.2,2022-23
143,Caleb Martin,MIA,71,29.3,9.6,3.6,7.7,46.4,1.2,3.3,35.6,1.3,1.6,80.5,1.2,3.6,4.8,1.6,1.0,0.4,1.1,12.0,2022-23
144,Isaiah Joe,OKC,73,19.1,9.5,3.1,7.0,44.1,2.2,5.4,40.9,1.1,1.4,82.0,0.4,2.0,2.4,1.2,0.7,0.1,0.5,9.2,2022-23
145,Andrew Nembhard,IND,75,27.7,9.5,3.8,8.6,44.1,1.2,3.5,35.0,0.7,0.8,79.0,0.5,2.2,2.7,4.5,0.9,0.2,1.7,11.1,2022-23
146,Jalen Smith,IND,68,18.8,9.4,3.6,7.5,47.6,0.8,2.8,28.3,1.5,2.0,75.9,1.9,3.9,5.8,1.0,0.3,0.9,1.1,11.9,2022-23
147,Jalen McDaniels,PHI,80,23.9,9.4,3.5,7.7,45.5,1.0,2.9,33.2,1.5,1.7,84.1,0.8,3.5,4.3,1.6,1.0,0.4,1.2,11.2,2022-23
148,Gabe Vincent,MIA,68,25.9,9.4,3.4,8.3,40.2,1.7,5.1,33.4,1.0,1.1,87.2,0.4,1.7,2.1,2.5,0.9,0.1,1.4,8.5,2022-23
149,Donte DiVincenzo,GSW,72,26.3,9.4,3.3,7.5,43.5,2.1,5.3,39.7,0.8,1.0,81.7,1.1,3.4,4.5,3.5,1.3,0.1,1.6,12.9,2022-23
150,Kyle Anderson,MIN,69,28.4,9.4,3.7,7.2,50.9,0.6,1.5,41.0,1.4,2.0,73.5,1.0,4.4,5.3,4.9,1.1,0.9,1.5,16.1,2022-23
151,Chris Boucher,TOR,76,20.0,9.4,3.4,7.0,49.3,0.8,2.5,32.8,1.7,2.2,76.2,2.1,3.5,5.5,0.4,0.6,0.8,0.5,12.2,2022-23
152,Tari Eason,HOU,82,21.5,9.3,3.6,8.0,44.8,0.7,2.1,34.3,1.3,1.8,75.2,2.4,3.7,6.0,1.1,1.2,0.6,1.2,12.0,2022-23
153,Luke Kennard,MEM,59,22.3,9.3,3.2,6.5,49.2,2.3,4.6,49.4,0.6,0.7,94.9,0.3,2.4,2.7,1.5,0.5,0.1,0.8,10.0,2022-23
154,Seth Curry,BKN,61,19.9,9.2,3.4,7.4,46.3,1.5,3.8,40.5,0.8,0.9,92.7,0.2,1.4,1.6,1.6,0.6,0.1,0.8,8.3,2022-23
155,Walker Kessler,UTA,74,23.0,9.2,4.0,5.6,72.0,0.0,0.0,33.3,1.1,2.1,51.6,3.1,5.3,8.4,0.9,0.4,2.3,0.8,17.8,2022-23
156,Deni Avdija,WAS,76,26.6,9.2,3.3,7.6,43.7,0.9,3.1,29.7,1.6,2.2,73.9,1.0,5.4,6.4,2.8,0.9,0.4,1.6,13.1,2022-23
157,Jalen Duren,DET,67,24.9,9.1,3.9,5.9,64.8,0.0,0.0,0.0,1.4,2.3,61.1,3.4,5.5,8.9,1.1,0.7,0.9,1.4,16.3,2022-23
158,Josh Green,DAL,60,25.7,9.1,3.4,6.4,53.7,1.1,2.8,40.2,1.1,1.6,72.3,0.9,2.1,3.0,1.7,0.7,0.1,1.2,10.1,2022-23
159,Naji Marshall,NOP,77,23.3,9.1,3.2,7.4,43.3,0.9,2.8,30.3,1.8,2.3,78.9,0.6,3.0,3.6,2.5,0.7,0.2,1.3,10.1,2022-23
160,Bol Bol,ORL,70,21.5,9.1,3.7,6.8,54.6,0.4,1.6,26.5,1.2,1.5,75.9,1.0,4.8,5.8,1.0,0.4,1.2,1.6,12.4,2022-23
161,Santi Aldama,MEM,77,21.8,9.0,3.2,6.8,47.0,1.2,3.5,35.3,1.4,1.9,75.0,1.1,3.7,4.8,1.3,0.6,0.6,0.8,11.5,2022-23
162,Daniel Gafford,WAS,78,20.6,9.0,3.7,5.1,73.2,0.0,0.0,0.0,1.6,2.4,67.9,2.1,3.5,5.6,1.1,0.4,1.3,1.1,14.1,2022-23
163,Jose Alvarado,NOP,61,21.5,9.0,3.3,8.0,41.1,1.4,4.0,33.6,1.1,1.3,81.3,0.5,1.9,2.3,3.0,1.1,0.2,1.3,9.3,2022-23
164,AJ Griffin,ATL,72,19.5,8.9,3.4,7.4,46.5,1.4,3.6,39.0,0.6,0.7,89.4,0.5,1.6,2.1,1.0,0.6,0.2,0.6,8.2,2022-23
165,Royce O'Neale,BKN,76,31.7,8.8,3.0,7.8,38.6,2.1,5.5,38.9,0.7,0.9,72.5,0.7,4.3,5.1,3.7,0.9,0.6,1.5,12.6,2022-23
166,Terance Mann,LAC,81,23.1,8.8,3.4,6.5,51.9,1.0,2.4,38.9,1.1,1.5,78.0,1.0,2.5,3.4,2.3,0.5,0.3,1.0,10.9,2022-23
167,Jordan Nwora,IND,62,19.2,8.7,3.1,7.2,43.6,1.4,3.4,40.8,1.1,1.4,79.1,0.8,2.9,3.7,1.4,0.4,0.2,1.1,9.1,2022-23
168,Cedi Osman,CLE,77,20.1,8.7,3.1,6.9,45.1,1.5,4.1,37.2,1.0,1.4,69.4,0.3,2.0,2.3,1.5,0.5,0.1,0.7,8.2,2022-23
169,T.J. McConnell,IND,75,20.3,8.7,3.8,6.9,54.3,0.3,0.8,44.1,0.8,0.9,85.3,0.6,2.5,3.1,5.3,1.1,0.1,1.9,13.1,2022-23
170,Ayo Dosunmu,CHI,80,26.2,8.6,3.5,7.1,49.3,0.7,2.4,31.2,0.8,1.0,80.5,0.6,2.2,2.8,2.6,0.8,0.3,1.2,10.0,2022-23
171,Draymond Green,GSW,73,31.5,8.5,3.4,6.5,52.7,0.5,1.8,30.5,1.1,1.5,71.3,0.9,6.3,7.2,6.8,1.0,0.8,2.8,18.0,2022-23
172,Shake Milton,PHI,76,20.6,8.4,3.2,6.6,47.9,0.7,1.9,37.8,1.3,1.5,85.3,0.5,2.0,2.5,3.2,0.3,0.2,1.2,9.6,2022-23
173,Dorian Finney-Smith,BKN,66,30.4,8.3,3.0,7.6,39.1,1.7,5.1,33.7,0.7,0.9,76.3,1.7,3.1,4.8,1.5,0.8,0.5,0.9,10.3,2022-23
174,Terrence Ross,PHX,63,21.1,8.3,3.2,7.4,43.0,1.5,4.1,36.8,0.4,0.5,79.4,0.3,2.1,2.4,1.5,0.6,0.2,0.7,8.0,2022-23
175,Kevin Love,MIA,62,20.0,8.2,2.7,6.8,38.9,1.6,4.8,33.4,1.3,1.5,87.9,1.0,5.5,6.4,1.9,0.3,0.2,1.1,11.5,2022-23
176,Nick Richards,CHA,65,18.7,8.2,3.0,4.8,62.9,0.0,0.0,100,2.1,2.8,74.9,2.3,4.1,6.4,0.6,0.2,1.1,0.9,13.0,2022-23
177,Georges Niang,PHI,78,19.4,8.2,2.8,6.4,44.2,2.0,4.9,40.1,0.5,0.6,86.7,0.2,2.1,2.4,1.0,0.4,0.2,0.7,7.7,2022-23
178,Damion Lee,PHX,74,20.4,8.2,2.7,6.1,44.2,1.5,3.3,44.5,1.3,1.4,90.4,0.5,2.5,3.0,1.3,0.4,0.1,1.1,8.4,2022-23
179,Grant Williams,BOS,79,25.9,8.1,2.7,6.0,45.4,1.5,3.7,39.5,1.2,1.5,77.0,1.1,3.5,4.6,1.7,0.5,0.4,1.0,10.6,2022-23
180,Jevon Carter,MIL,81,22.4,8.0,3.0,7.0,42.3,1.8,4.2,42.1,0.4,0.5,81.6,0.4,2.1,2.5,2.4,0.8,0.4,1.0,9.1,2022-23
181,Jarred Vanderbilt,LAL,78,24.1,7.9,3.2,5.8,54.8,0.4,1.2,32.2,1.2,1.8,69.1,2.2,5.3,7.5,2.4,1.1,0.3,1.2,14.7,2022-23
182,Ochai Agbaji,UTA,59,20.5,7.9,2.8,6.5,42.7,1.4,3.9,35.5,0.9,1.2,81.2,0.7,1.3,2.1,1.1,0.3,0.3,0.7,7.0,2022-23
183,Tre Mann,OKC,67,17.7,7.7,2.9,7.5,39.3,1.2,3.8,31.5,0.6,0.8,76.4,0.4,1.9,2.3,1.8,0.6,0.2,0.9,6.9,2022-23
184,Pat Connaughton,MIL,61,23.7,7.6,2.7,6.9,39.2,1.8,5.3,33.9,0.4,0.7,65.9,0.8,3.8,4.6,1.3,0.6,0.2,0.5,9.4,2022-23
185,Joe Harris,BKN,74,20.6,7.6,2.7,5.9,45.7,1.9,4.5,42.6,0.2,0.4,64.3,0.3,1.9,2.2,1.4,0.5,0.2,0.6,7.9,2022-23
185,Trey Lyles,SAC,74,16.9,7.6,2.5,5.5,45.8,1.2,3.2,36.3,1.4,1.7,81.5,0.9,3.1,4.1,0.9,0.4,0.4,0.9,9.2,2022-23
187,Torrey Craig,PHX,79,24.7,7.4,2.9,6.3,45.6,1.3,3.2,39.5,0.4,0.6,71.1,1.8,3.6,5.4,1.5,0.6,0.8,0.9,11.2,2022-23
188,Obi Toppin,NYK,67,15.7,7.4,2.8,6.3,44.6,1.3,3.7,34.4,0.6,0.7,80.9,0.4,2.4,2.8,1.0,0.3,0.2,0.6,7.6,2022-23
189,Trendon Watford,POR,62,19.1,7.4,2.9,5.2,56.0,0.4,1.0,39.1,1.2,1.6,72.0,0.7,3.2,3.8,2.1,0.5,0.2,1.1,10.2,2022-23
190,Devonte' Graham,SAS,73,18.3,7.4,2.2,5.9,37.4,1.6,4.6,35.2,1.3,1.8,74.8,0.3,1.4,1.7,2.7,0.6,0.2,0.7,7.7,2022-23
191,Mitchell Robinson,NYK,59,26.9,7.4,3.2,4.7,67.1,0.0,0.0,0.0,1.0,2.1,48.4,4.5,4.9,9.4,0.9,0.9,1.8,0.7,17.2,2022-23
192,Josh Okogie,PHX,72,18.8,7.3,2.3,5.8,39.1,0.9,2.7,33.5,1.9,2.7,72.4,1.5,2.0,3.5,1.5,0.8,0.5,0.9,8.4,2022-23
193,Isaiah Jackson,IND,63,16.5,7.2,2.8,5.0,56.3,0.0,0.2,14.3,1.5,2.3,65.1,1.8,2.7,4.5,0.8,0.5,1.5,0.8,10.7,2022-23
194,Reggie Bullock Jr.,DAL,78,30.3,7.2,2.5,6.0,40.9,1.9,5.1,38.0,0.3,0.5,70.3,0.4,3.2,3.6,1.4,0.7,0.2,0.5,8.9,2022-23
195,Troy Brown Jr.,LAL,76,24.5,7.1,2.6,6.1,43.0,1.4,3.7,38.1,0.4,0.5,87.2,0.8,3.2,4.1,1.3,0.8,0.2,0.6,9.2,2022-23
196,Kendrick Nunn,WAS,70,13.8,7.1,2.7,6.4,42.4,1.1,3.2,35.4,0.5,0.6,85.4,0.2,1.3,1.6,1.3,0.4,0.1,0.9,5.7,2022-23
197,Kevon Looney,GSW,82,23.9,7.0,3.0,4.7,63.0,0.0,0.0,0.0,1.1,1.9,60.6,3.3,5.9,9.3,2.5,0.6,0.6,0.5,17.1,2022-23
198,Xavier Tillman,MEM,61,19.3,7.0,3.1,5.0,61.4,0.1,0.2,26.7,0.8,1.5,55.1,2.0,3.0,5.0,1.6,1.0,0.5,0.7,11.8,2022-23
199,Cory Joseph,DET,62,19.8,6.9,2.4,5.7,42.7,1.1,2.9,38.9,0.9,1.2,79.2,0.3,1.4,1.7,3.5,0.5,0.1,0.9,8.4,2022-23
200,Aaron Wiggins,OKC,70,18.5,6.8,2.7,5.2,51.2,0.7,1.7,39.3,0.8,1.0,83.1,1.0,2.0,3.0,1.1,0.6,0.2,0.8,8.3,2022-23
201,Larry Nance Jr.,NOP,65,21.2,6.8,2.9,4.7,61.0,0.2,0.6,33.3,0.8,1.2,69.6,1.6,3.8,5.4,1.8,0.9,0.6,0.6,12.6,2022-23
202,Terence Davis,SAC,64,13.1,6.7,2.4,5.7,42.3,1.4,3.8,36.6,0.5,0.7,79.1,0.3,1.9,2.2,1.0,0.7,0.2,0.8,6.6,2022-23
203,Anthony Lamb,GSW,62,19.3,6.7,2.4,5.1,47.1,1.2,3.2,36.7,0.7,1.0,76.7,0.9,2.6,3.5,1.5,0.5,0.3,0.9,8.7,2022-23
204,Dwight Powell,DAL,76,19.2,6.7,2.6,3.5,73.2,0.0,0.1,0.0,1.5,2.2,66.7,2.0,2.2,4.1,0.9,0.6,0.3,0.9,10.1,2022-23
205,David Roddy,MEM,70,18.0,6.7,2.6,6.0,42.9,0.9,3.0,30.7,0.6,0.9,63.1,0.7,2.0,2.8,0.8,0.4,0.3,0.8,6.4,2022-23
206,Drew Eubanks,POR,78,20.3,6.6,2.7,4.3,64.1,0.1,0.2,38.9,1.1,1.6,66.4,1.7,3.7,5.4,1.3,0.5,1.3,0.9,12.2,2022-23
207,Jock Landale,PHX,69,14.2,6.6,2.6,4.9,52.8,0.3,1.2,25.0,1.1,1.5,75.2,1.7,2.3,4.1,1.0,0.2,0.4,0.9,8.8,2022-23
208,Kevin Knox II,POR,63,15.1,6.6,2.4,5.3,45.8,1.0,3.0,34.9,0.7,1.0,76.7,0.5,2.3,2.8,0.5,0.4,0.2,0.8,6.6,2022-23
209,Jordan Goodwin,WAS,62,17.8,6.6,2.5,5.7,44.8,0.6,1.9,32.2,0.9,1.1,76.8,0.9,2.4,3.3,2.7,0.9,0.4,0.9,9.6,2022-23
210,Isaac Okoro,CLE,76,21.8,6.4,2.3,4.7,49.4,0.8,2.3,36.3,1.0,1.4,75.7,0.7,1.8,2.5,1.1,0.7,0.4,0.6,7.9,2022-23
211,Sam Hauser,BOS,80,16.1,6.4,2.3,5.0,45.5,1.8,4.2,41.8,0.2,0.2,70.6,0.4,2.1,2.6,0.9,0.4,0.3,0.4,7.3,2022-23
212,Goran Dragic,MIL,58,15.0,6.3,2.4,5.8,42.1,0.9,2.5,35.9,0.5,0.8,68.9,0.3,1.1,1.4,2.6,0.2,0.1,1.1,5.9,2022-23
213,Patrick Beverley,CHI,67,27.1,6.2,2.1,5.4,40.0,1.2,3.6,33.5,0.7,1.0,72.3,0.7,3.0,3.7,2.9,0.9,0.6,0.9,9.9,2022-23
214,Nickeil Alexander-Walker,MIN,59,15.0,6.2,2.2,5.0,44.4,1.0,2.7,38.4,0.7,1.0,66.7,0.3,1.5,1.7,1.8,0.5,0.4,0.9,6.5,2022-23
215,Nicolas Batum,LAC,78,21.9,6.1,2.1,4.9,42.0,1.6,4.1,39.1,0.4,0.6,70.8,0.8,3.0,3.8,1.6,0.7,0.6,0.6,9.1,2022-23
216,Oshae Brissett,IND,65,16.7,6.1,1.9,4.9,38.6,0.7,2.4,31.0,1.6,2.2,71.7,1.0,2.4,3.4,0.7,0.5,0.2,0.5,6.7,2022-23
217,Mike Muscala,BOS,63,15.0,6.1,2.1,4.6,44.9,1.3,3.3,39.1,0.6,0.8,76.9,0.6,2.6,3.2,0.8,0.2,0.4,0.4,7.6,2022-23
218,Andre Drummond,CHI,67,12.7,6.0,2.5,4.1,60.6,0.0,0.0,0.0,1.0,1.9,53.6,2.1,4.6,6.6,0.5,0.7,0.4,1.1,10.6,2022-23
219,Josh Christopher,HOU,64,12.3,5.8,2.4,5.1,46.5,0.3,1.4,23.6,0.7,0.9,75.0,0.3,0.8,1.1,1.1,0.5,0.2,0.9,4.9,2022-23
